번호,국명,학명,국내보전,국제보전,번식기록,계절성,개체수
452,갈색지빠귀,Turdus feae,IOS,VU,0,P,V2
453,붉은배지빠귀,Turdus chrysolaus,LCS,LC,0,P,4
454,회색머리지빠귀,Turdus pilaris,IOS,LC,0,,V2
455,검은목지빠귀,Turdus atrogularis,IOS,LC,0,,V1
456,붉은목지빠귀,Turdus ruficollis,RRO,LC,0,"P,W","5,V1"
457,개똥지빠귀,Turdus eunomus,NAB,LC,0,"P,W","1,3"
458,노랑지빠귀,Turdus naumanni,HDR,LC,0,"W,P","2,3"
459,제비딱새,Muscicapa griseisticta,HDR,LC,0,P,3
460,솔딱새,Muscicapa sibirica,DES,LC,0,P,4
461,쇠솔딱새,Muscicapa dauurica,HDR,LC,1,"P,S","2,4"
462,갈색솔딱새,Muscicapa muttui,IOS,LC,0,,V2
463,꼬까딱새,Muscicapa ferruginea,IOS,LC,0,,V2
464,주황가슴파랑딱새,Cyornis glaucicomans,IOS,LC,0,,V2
465,붉은가슴딱새,Niltava davidi,IOS,LC,0,,V2
466,큰유리새,Cyanoptila cyanomelana,DES,LC,1,"S,P","1,2"
467,하늘유리새,Cyanoptila cumatilis,IOS,NT,0,,V1
468,파랑딱새,Eumyias thalassinus,IOS,LC,0,"P,W","V1,V2"
469,꼬까울새,Erithacus rubecula,IOS,LC,0,,V2
470,쇠유리새,Larvivora cyane,HDR,LC,1,"S,P","2,3"
471,울새,Larvivora sibilans,LCS,LC,0,P,3
472,붉은가슴울새,Larvivora akahige,LCS,LC,0,"P,W,S","5,V2,V2"
473,흰눈썹울새,Luscinia svecica,LCS,LC,0,"P,W","5,V2"
474,진홍가슴,Calliope calliope,LCS,LC,1,"P,S,W","3,4,V2"
475,흰꼬리유리딱새,Myiomela leucura,IOS,LC,0,,V2
476,유리딱새,Tarsiger cyanurus,LCS,LC,0,"P,W,S","1,4,V2"
477,흰눈썹황금새,Ficedula zanthopygia,BDS,LC,1,"S,P","2,3"
478,북방황금새,Ficedula elisae,IOS,LC,0,P,V2
479,황금새,Ficedula narcissina,LCS,LC,1,"P,S","4,V2"
480,남방황금새,Ficedula owstoni,IOS,LC,0,,V2
481,노랑딱새,Ficedula mugimaki,HDR,LC,0,"P,W","3,V2"
482,흰꼬리딱새,Ficedula albicilla,LCS,LC,0,P,4
483,서양흰꼬리딱새,Ficedula parva,IOS,LC,0,,V1
484,검은머리딱새,Phoenicurus ochruros,IOS,LC,0,,V1
485,딱새,Phoenicurus auroreus,DES,LC,1,"R,W","1,2"
486,부채꼬리바위딱새,Phoenicurus fuliginosus,IOS,LC,1,,V1
487,흰머리바위딱새,Phoenicurus leucocephalus,IOS,LC,0,,V2
488,바다직박구리,Monticola solitarius,DES,LC,1,"S,R","2,4"
489,꼬까직박구리,Monticola gularis,LCS,LC,0,"P,S","4,V2"
490,검은딱새,Saxicola stejnegeri,NBM,NR,1,"P,S,W","2,4,V2"
491,검은뺨딱새,Saxicola ferreus,IOS,LC,0,,V1
492,북방사막딱새,Oenanthe oenanthe,IOS,LC,0,,V2
493,긴다리사막딱새,Oenanthe isabellina,IOS,LC,0,,V2
494,검은꼬리사막딱새,Oenanthe deserti,IOS,LC,0,,V2
495,검은등사막딱새,Oenanthe pleschanka,IOS,LC,0,,V1
496,물까마귀,Cinclus pallasii,DES,LC,1,R,3
497,섬참새,Passer cinnamomeus,LCS,LC,1,"R,P","4,5"
498,참새,Passer montanus,BDS,LC,1,"R,P","1,4"
499,집참새,Passer domesticus,IOS,LC,0,,V2
500,얼룩무늬납부리새,Lonchura punctulata,IOS,LC,0,,V2
501,바위종다리,Prunella collaris,LCS,LC,0,"W,P","4,5"
502,멧종다리,Prunella montanella,LCS,LC,0,W,2
503,쇠바위종다리,Prunella rubida,IOS,LC,0,,V2
504,물레새,Dendronanthus indicus,HDR,LC,1,"P,S","4,4"
505,긴발톱할미새,Motacilla tschutschensis,LCS,LC,0,"P,W","2,V2"
506,노랑머리할미새,Motacilla citreola,RRO,LC,0,P,5
507,노랑할미새,Motacilla cinerea,NAB,LC,1,"P,S,R","2,3,5"
508,알락할미새,Motacilla alba,HDR,LC,1,"P,S,W","1,2,3"
509,검은등할미새,Motacilla grandis,BDS,LC,1,R,3
510,큰밭종다리,Anthus richardi,LCS,LC,0,"P,W","4,V2"
511,쇠밭종다리,Anthus godlewskii,DES,LC,0,P,5
512,풀밭종다리,Anthus pratensis,IOS,LC,0,,V2
513,나무밭종다리,Anthus trivialis,IOS,LC,0,,V1
514,힝둥새,Anthus hodgsoni,NAB,LC,1,"P,W,S","1,3,V1"
515,흰등밭종다리,Anthus gustavi,LCS,LC,0,P,3
516,한국밭종다리,Anthus roseatus,IOS,LC,0,,V2
517,붉은가슴밭종다리,Anthus cervinus,LCS,LC,0,"P,W","3,V1"
518,밭종다리,Anthus rubescens,LCS,LC,0,"P,W","2,3"
519,옅은밭종다리,Anthus spinoletta,IOS,LC,0,,V1
520,푸른머리되새,Fringilla coelebs,IOS,LC,0,,V2
521,되새,Fringilla montifringilla,NAB,LC,0,"P,W","1,1"
522,콩새,Coccothraustes coccothraustes,LCS,LC,0,"P,W","2,2"
523,밀화부리,Eophona migratoria,LCS,LC,1,"P,S,W","3,4,4"
524,큰부리밀화부리,Eophona personata,LCS,LC,0,"P,W","4,5"
525,솔양진이,Pinicola enucleator,IOS,LC,0,,V2
526,멋쟁이,Pyrrhula pyrrhula,LCS,LC,0,W,3
527,바위양진이,Bucanetes mongolicus,IOS,LC,0,,V2
528,갈색양진이,Leucosticte arctoa,LCS,LC,0,W,4
529,붉은양진이,Carpodacus erythrinus,LCS,LC,0,"P,W","4,V1"
530,긴꼬리홍양진이,Carpodacus sibiricus,LCS,LC,0,"P,W","3,3"
531,양진이,Carpodacus roseus,LCS,LC,0,"P,W","3,4"
532,방울새,Chloris sinica,NAB,LC,1,"W,R","1,2"
533,홍방울새,Acanthis flammea,NBS,LC,0,W,5
534,쇠홍방울새,Acanthis hornemanni,IOS,NR,0,,V2
535,솔잣새,Loxia curvirostra,LCS,LC,1,"W,S","4,V1"
536,검은머리방울새,Spinus spinus,NAB,LC,2,"P,W,S","1,2,V2"
537,긴발톱멧새,Calcarius lapponicus,DES,LC,0,"W,P","3,4"
538,흰멧새,Plectrophenax nivalis,IOS,LC,0,W,V1
539,노랑멧새,Emberiza citrinella,IOS,LC,0,,V2
540,흰머리멧새,Emberiza leucocephalos,LCS,LC,0,"P,W","4,5"
541,동부산악멧새,Emberiza godlewskii,IOS,LC,0,,V2
542,멧새,Emberiza cioides,HDR,LC,1,"W,R","2,3"
543,노랑수염멧새,Emberiza hortulana,IOS,LC,0,,V2
544,흰배멧새,Emberiza tristrami,LCS,LC,1,"P,S,W","3,4,5"
545,붉은뺨멧새,Emberiza fucata,NBM,LC,1,"P,W,S","4,4,5"
546,쇠붉은뺨멧새,Emberiza pusilla,NAB,LC,0,"P,W","2,4"
547,노랑눈썹멧새,Emberiza chrysophrys,NAB,LC,0,P,2
548,쑥새,Emberiza rustica,GCS,VU,0,"P,W","1,2"
549,노랑턱멧새,Emberiza elegans,BDM,LC,1,"W,R,P","1,1,2"
550,검은머리촉새,Emberiza aureola,GCS,CR,0,P,4
551,꼬까참새,Emberiza rutila,NBM,LC,0,"P,W","3,V2"
552,검은머리멧새,Emberiza melanocephala,IOS,LC,0,,V1
553,붉은머리멧새,Emberiza bruniceps,IOS,LC,0,,V2
554,무당새,Emberiza sulphurata,PNS,LC,0,P,4
555,촉새,Emberiza spodocephala,DES,LC,1,"P,W,S","1,4,V2"
556,섬촉새,Emberiza personata,LCS,LC,0,"P,W","5,5"
557,검은멧새,Emberiza variabilis,LCS,LC,0,"P,W","5,5"
558,북방검은머리쑥새,Emberiza pallasi,DES,LC,0,"W,P","2,3"
559,쇠검은머리쑥새,Emberiza yessoensis,TNS,NT,1,"P,W,S","4,5,5"
560,검은머리쑥새,Emberiza schoeniclus,LCS,LC,0,W,3
561,흰정수리멧새,Zonotrichia leucophrys,IOS,LC,0,,V2
562,노랑정수리멧새,Zonotrichia atricapilla,IOS,LC,0,,V2
563,초원멧새,Passerculus sandwichensis,IOS,LC,0,,V2
564,원앙사촌,Tadorna cristata,REX,CR,0,R,
565,사막꿩,Syrrhaptes paradoxus,IOS,LC,0,,V2
566,따오기,Nipponia nippon,REX,EN,1,,
567,큰사다새,Pelecanus onocrotalus,IOS,LC,0,,V2
